C_Name,year,number,consumption
新北市,2014,2483771.9166666665,2424.266970379791
高雄市,2014,3941424.9166666665,2679.608812226784
臺中市,2014,4579036.166666667,2713.186354596997
臺北市,2014,20045584.0,3237.4811928774534
桃園市,2014,3496518.0833333335,2718.37989237443
臺南市,2014,2133013.5833333335,2271.7338407901066
彰化縣,2014,1103436.5,1904.19984327247
屏東縣,2014,606836.5,2103.907509466102
雲林縣,2014,424523.5833333333,1808.1550254045037
苗栗縣,2014,497751.75,1915.374504879977
嘉義縣,2014,104091.75,2281.0036089558607
新竹縣,2014,191090.91666666666,2626.7725387452633
南投縣,2014,434156.1666666667,2406.703382685631
宜蘭縣,2014,485682.4166666667,2233.7937389340455
新竹市,2014,1695699.9166666667,2132.430916059024
基隆市,2014,315904.25,1883.0435266383022
花蓮縣,2014,387641.9166666667,3119.412438828213
嘉義市,2014,648718.25,2223.834089892512
臺東縣,2014,203996.83333333334,5616.33108776115
金門縣,2014,92965.33333333333,2849.7438487140944
澎湖縣,2014,69042.33333333333,2324.830276366635
連江縣,2014,3680.0833333333335,2503.8880017836577
新北市,2015,2619885.25,2397.3086676965486
高雄市,2015,4127633.5,2648.88505043361
臺中市,2015,4811950.166666667,2708.7064180277653
臺北市,2015,21583570.916666668,3210.8485880183894
桃園市,2015,3677277.75,2738.4818916005133
臺南市,2015,2293212.6666666665,2181.0326769332864
彰化縣,2015,1144605.75,1835.0018746052688
屏東縣,2015,649713.8333333334,1969.1401536637559
雲林縣,2015,423191.8333333333,1724.1904270091175
苗栗縣,2015,535072.0833333334,1739.6936277073637
嘉義縣,2015,110029.25,2032.2516982449065
新竹縣,2015,192845.75,2623.494120160919
南投縣,2015,443173.75,2352.561615327315
宜蘭縣,2015,495173.75,2134.5872690621177
新竹市,2015,1772613.75,2068.1300931637084
基隆市,2015,322131.8333333333,1881.6669694453074
花蓮縣,2015,402195.5833333333,2991.354924226646
嘉義市,2015,660227.0,2186.5377756339312
臺東縣,2015,209582.16666666666,5249.058214853587
金門縣,2015,121789.58333333333,3147.498017928925
澎湖縣,2015,70994.91666666667,2339.033851131711
連江縣,2015,3838.5,2564.8303224484075
新北市,All,2551828.5833333335,2410.78781903817
高雄市,All,4034529.2083333335,2664.2469313301967
臺中市,All,4695493.166666667,2710.946386312381
臺北市,All,20814577.458333332,3224.1648904479216
桃園市,All,3586897.9166666665,2728.4308919874716
臺南市,All,2213113.125,2226.3832588616965
彰化縣,All,1124021.125,1869.6008589388694
屏東縣,All,628275.1666666666,2036.523831564929
雲林縣,All,423857.7083333333,1766.1727262068105
苗栗縣,All,516411.9166666667,1827.5340662936703
嘉義縣,All,107060.5,2156.6276536003834
新竹縣,All,191968.33333333334,2625.1333294530914
南投縣,All,438664.9583333333,2379.6324990064727
宜蘭縣,All,490428.0833333333,2184.1905039980816
新竹市,All,1734156.8333333333,2100.2805046113663
基隆市,All,319018.0416666667,1882.3552480418048
花蓮縣,All,394918.75,3055.3836815274294
嘉義市,All,654472.625,2205.185932763222
臺東縣,All,206789.5,5432.694651307368
金門縣,All,107377.45833333333,2998.6209333215097
澎湖縣,All,70018.625,2331.932063749173
連江縣,All,3759.2916666666665,2534.3591621160326
